Speed,Latency,T1 (inches for all),T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,Mean,Standard Deviation
130 Speed,10 ms,3.625,3.7,3.55,3.65,3.68,3.55,3.55,3.7,3.75,3.68,3.8,3.77,3.625,3.6,3.55,3.6,3.62,3.65,3.65,3.55,3.6425,0.076
130 Speed,50 ms,3.55,2.95,3.4,3.65,3.1,3.55,3.5,3.25,3.55,3.625,3.4,3.45,3.55,3.1875,3.1,3.08,3.625,3.5,3.5,3.55,3.4034,0.2129
130 Speed,100 ms,3.55,3.6,3.675,2.75,2.8,2.875,3.55,3.5,3.375,3.25,2.4,3.25,3.5,3.375,3.05,2.9,3.05,3.1,2.95,3.2,3.185,0.3393
130 Speed,150 ms,2.35,1.95,1.8,3.6,2.375,1.95,3.9,3.85,2.2,1.8,1.8,1.8,2.6,1.87,3.15,2.55,2.3,2.2,1.8,2.8,2.4323,0.6934
130 Speed,200 ms,2.05,3.8,1.5,1.25,1.85,2.5,1.375,3.65,3.625,3.25,2.95,2.9,2.45,2.1,1.95,3.3,1.65,2.8,2.35,1.5,2.44,0.8119
190 Speed,10 ms,2.45,2.5,2.05,2,2.55,2.45,2.3,2.25,2.4,2.5,2.6,2.35,2.1,2.4,2.25,2.5,2.45,2.2,2.3,2.55,2.3575,0.1727
190 Speed,50 ms,2.2,2,1.6,1.85,2.3,1.8,2.08,1.7,1.9,1.8,2,1.85,1.95,2.15,1.75,2.1,1.65,1.9,2.25,1.8,1.9315,0.2
190 Speed,100 ms,1.6,1.45,1.5,1.75,1.7,1.65,2.05,1.75,1.75,1.6,1.55,1.8,1.65,1.5,1.7,1.9,1.6,1.55,1.45,1.7,1.66,0.151
190 Speed,150 ms,0.75,0.93,1.3,1.2,0.75,1,0.93,0.88,1.2,1.18,1.25,1.2,0.95,0.8,1.1,1.05,0.7,1.3,0.85,1.15,1.0235,0.1951
190 Speed,200 ms,0.1875,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,0.18,CRASH,0.1,0.375,0.3,CRASH,CRASH,0.2,CRASH,CRASH,0.15,CRASH,CRASH,0.0746,0.1168
250 Speed,10 ms,1,1.06,1.25,1.05,1,0.9375,1.1,1.15,1.05,0.95,1.03,1.12,1,0.98,1.05,1.21,1.04,0.97,1.1,1.02,1.0534,0.0822
250 Speed,50 ms,0.95,0.8125,CRASH,1.1,1.18,0.8,0.9,0.875,1.15,1.2,CRASH,0.9,1.05,CRASH,0.85,1.12,CRASH,0.95,1,CRASH,0.7419,0.4547
250 Speed,100 ms,CRASH,0.8,0.55,0.5,0.8,0.5,0.75,0.8,CRASH,CRASH,0.5,CRASH,0.6,0.7,CRASH,0.65,CRASH,0.55,CRASH,CRASH,0.385,0.336
250 Speed,150 ms,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,0,0
250 Speed,200 ms,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,CRASH,0,0
